-1,0,-0.01
-0.99929,0.0046885,-0.01
-0.99717,0.0092652,-0.01
-0.99363,0.013723,-0.01
-0.9887,0.018054,-0.01
-0.98238,0.022247,-0.01
-0.9747,0.02629,-0.01
-0.96567,0.03017,-0.01
-0.95532,0.033871,-0.01
-0.94368,0.03738,-0.01
-0.93078,0.04068,-0.01
-0.91666,0.043757,-0.01
-0.90136,0.046597,-0.01
-0.88492,0.049187,-0.01
-0.86739,0.051515,-0.01
-0.84882,0.053571,-0.01
-0.82926,0.055348,-0.01
-0.80876,0.056841,-0.01
-0.78739,0.058045,-0.01
-0.76521,0.058961,-0.01
-0.74228,0.059591,-0.01
-0.71865,0.059938,-0.01
-0.69441,0.06001,-0.01
-0.66962,0.059815,-0.01
-0.64435,0.059365,-0.01
-0.61866,0.058671,-0.01
-0.59264,0.057748,-0.01
-0.56636,0.056611,-0.01
-0.53989,0.055276,-0.01
-0.51331,0.053761,-0.01
-0.48669,0.052081,-0.01
-0.46011,0.050255,-0.01
-0.43364,0.0483,-0.01
-0.40736,0.046233,-0.01
-0.38134,0.044072,-0.01
-0.35565,0.041832,-0.01
-0.33038,0.039529,-0.01
-0.30559,0.037181,-0.01
-0.28135,0.0348,-0.01
-0.25772,0.032403,-0.01
-0.23479,0.030004,-0.01
-0.21261,0.027617,-0.01
-0.19124,0.025256,-0.01
-0.17074,0.022934,-0.01
-0.15118,0.020665,-0.01
-0.13261,0.018462,-0.01
-0.11508,0.016339,-0.01
-0.098644,0.014308,-0.01
-0.083343,0.012383,-0.01
-0.069223,0.010575,-0.01
-0.056324,0.0088975,-0.01
-0.044683,0.0073612,-0.01
-0.034332,0.0059771,-0.01
-0.025301,0.0047554,-0.01
-0.017616,0.0037051,-0.01
-0.011298,0.0028343,-0.01
-0.0063658,0.0021497,-0.01
-0.0028326,0.0016567,-0.01
-0.00070865,0.0013594,-0.01
0,0.00126,-0.01
0,-0.00126,-0.01
-0.00070865,-0.0013594,-0.01
-0.0028326,-0.0016567,-0.01
-0.0063658,-0.0021497,-0.01
-0.011298,-0.0028343,-0.01
-0.017616,-0.0037051,-0.01
-0.025301,-0.0047554,-0.01
-0.034332,-0.0059771,-0.01
-0.044683,-0.0073612,-0.01
-0.056324,-0.0088975,-0.01
-0.069223,-0.010575,-0.01
-0.083343,-0.012383,-0.01
-0.098644,-0.014308,-0.01
-0.11508,-0.016339,-0.01
-0.13261,-0.018462,-0.01
-0.15118,-0.020665,-0.01
-0.17074,-0.022934,-0.01
-0.19124,-0.025256,-0.01
-0.21261,-0.027617,-0.01
-0.23479,-0.030004,-0.01
-0.25772,-0.032403,-0.01
-0.28135,-0.0348,-0.01
-0.30559,-0.037181,-0.01
-0.33038,-0.039529,-0.01
-0.35565,-0.041832,-0.01
-0.38134,-0.044072,-0.01
-0.40736,-0.046233,-0.01
-0.43364,-0.0483,-0.01
-0.46011,-0.050255,-0.01
-0.48669,-0.052081,-0.01
-0.51331,-0.053761,-0.01
-0.53989,-0.055276,-0.01
-0.56636,-0.056611,-0.01
-0.59264,-0.057748,-0.01
-0.61866,-0.058671,-0.01
-0.64435,-0.059365,-0.01
-0.66962,-0.059815,-0.01
-0.69441,-0.06001,-0.01
-0.71865,-0.059938,-0.01
-0.74228,-0.059591,-0.01
-0.76521,-0.058961,-0.01
-0.78739,-0.058045,-0.01
-0.80876,-0.056841,-0.01
-0.82926,-0.055348,-0.01
-0.84882,-0.053571,-0.01
-0.86739,-0.051515,-0.01
-0.88492,-0.049187,-0.01
-0.90136,-0.046597,-0.01
-0.91666,-0.043757,-0.01
-0.93078,-0.04068,-0.01
-0.94368,-0.03738,-0.01
-0.95532,-0.033871,-0.01
-0.96567,-0.03017,-0.01
-0.9747,-0.02629,-0.01
-0.98238,-0.022247,-0.01
-0.9887,-0.018054,-0.01
-0.99363,-0.013723,-0.01
-0.99717,-0.0092652,-0.01
-0.99929,-0.0046885,-0.01
